SENSOR1,SENSOR2
3975,3588
3971,3581
3970,3661
3976,3513
3975,3507
3976,3606
3975,3563
3971,3581
3970,363
3977,3612
3971,3656
3971,3606
3996,3587
3970,3201
3970,363
3971,3581
3977,3513
