SENSOR1,SENSOR2,SENSOR3
1063,868,1013
1062,919,1012
1062,898,1013
1062,919,1013
1063,870,1013
1062,868,1013
1062,868,1013
1063,892,1012
1063,891,1012
1063,892,1013
1063,868,1012
1062,868,1012
1062,868,1013
1063,868,1013
1063,892,1013
1062,868,1013
1062,868,1012
